sampleid,x,y
0,67,1
1,280,1
2,662,1
3,78,1
4,614,1
5,303,1
6,778,1
7,258,1
8,767,1
9,258,1
10,772,1
11,436,1
12,436,1
13,805,1
14,340,1
15,112,1
16,223,1
17,18,1
18,559,1
19,274,1
20,620,1
21,894,1
22,829,1
23,774,1
24,850,1
25,474,1
26,786,1
27,758,1
28,955,1
29,352,1
30,1021,0
31,253,1
32,971,1
33,551,1
34,325,1
35,18,1
36,230,1
37,47,1
38,147,1
39,68,1
40,298,1
41,144,1
42,207,1
43,335,1
44,545,1
45,807,1
46,94,1
47,664,1
48,217,1
49,882,1
50,671,1
51,443,1
52,487,1
53,82,1
54,657,1
55,402,1
56,333,1
57,819,1
58,893,1
59,595,1
60,287,1
61,522,1
62,515,1
63,654,1
64,734,1
65,533,1
66,731,1
67,508,1
68,66,1
69,876,1
70,14,1
71,294,1
72,528,1
73,55,1
74,620,1
75,880,1
76,368,1
77,656,1
78,13,1
79,613,1
80,272,1
81,765,1
82,505,1
83,904,1
84,876,1
85,618,1
86,177,1
87,548,1
88,593,1
89,826,1
90,144,1
91,417,1
92,853,1
93,732,1
94,187,1
95,247,1
96,48,1
97,929,1
98,836,1
99,643,1
100,511,1
101,169,1
102,240,1
103,882,1
104,912,1
105,413,1
106,69,1
107,566,1
108,966,1
109,44,1
110,581,1
111,752,1
112,899,1
113,763,1
114,514,1
115,429,1
116,559,1
117,615,1
118,216,1
119,94,1
120,529,1
121,252,1
122,77,1
123,20,1
124,199,1
125,139,1
126,30,1
127,562,1
128,445,1
129,213,1
130,315,1
131,879,1
132,393,1
133,92,1
134,264,1
135,602,1
136,292,1
137,326,1
138,626,1
139,710,1
140,709,1
141,563,1
142,556,1
143,225,1
144,932,1
145,575,1
146,230,1
147,780,1
148,200,1
149,473,1
150,342,1
151,404,1
152,229,1
153,259,1
154,768,1
155,748,1
156,1000,1
157,85,1
158,965,1
159,567,1
160,419,1
161,881,1
162,770,1
163,435,1
164,780,1
165,810,1
166,694,1
167,306,1
168,562,1
169,73,1
170,663,1
171,475,1
172,260,1
173,935,1
174,497,1
175,192,1
176,1009,0
177,815,1
178,295,1
179,587,1
180,824,1
181,851,1
182,654,1
183,890,1
184,732,1
185,960,1
186,703,1
187,469,1
188,907,1
189,735,1
190,51,1
191,481,1
192,658,1
193,532,1
194,264,1
195,720,1
196,1023,0
197,293,1
198,174,1
199,355,1
200,378,1
201,590,1
202,769,1
203,81,1
204,345,1
205,952,1
206,851,1
207,751,1
208,474,1
209,130,1
210,486,1
211,622,1
212,141,1
213,288,1
214,87,1
215,557,1
216,482,1
217,1023,0
218,214,1
219,508,1
220,801,1
221,127,1
222,1000,1
223,982,1
224,204,1
225,118,1
226,435,1
227,710,1
228,160,1
229,617,1
230,591,1
231,188,1
232,206,1
233,834,1
234,221,1
235,327,1
236,978,1
237,326,1
238,488,1
239,543,1
240,171,1
241,868,1
242,972,1
243,917,1
244,291,1
245,876,1
246,112,1
247,535,1
248,196,1
249,344,1
250,687,1
251,956,1
252,872,1
253,304,1
254,830,1
255,391,1
256,584,1
257,141,1
258,845,1
259,325,1
260,29,1
261,714,1
262,987,1
263,614,1
264,104,1
265,478,1
266,445,1
267,250,1
268,119,1
269,11,1
270,669,1
271,163,1
